ID,timeStamp,x,y,pressure,areaCover,pointerCount,actionCode,screenOrientationStr,azimuth,pitch,poll,gx,gy,gz,sx,sy,sz,label
388,11015626,912.5247192,633.3469238,0.46274513,3.096774101,1,2,landscape,176.883728,1.29778254,2.382493258,0.390258789,-0.237030029,9.624694824,-0.000183105,0.005310059,-0.001037598,1
389,11015632,912.5247192,633.3469238,0.46274513,3.096774101,1,1,landscape,176.883728,1.29778254,2.382493258,0.390258789,-0.237030029,9.624694824,-0.000183105,0.005310059,-0.001037598,1
390,11015909,1149.401367,269.6836243,0.392156899,2.580645084,1,0,landscape,176.9599609,1.276031852,2.35974884,0.409408569,-0.136474609,9.138671875,0.004089355,0.005310059,0.002166748,1
391,11015975,1134.277832,283.8675537,0.427451015,4.129032135,1,2,landscape,176.9163818,1.306865811,2.291724443,0.37109375,-0.289703369,9.442749023,0.00088501,-0.004272461,3.05E-05,1
392,11016025,1112.18396,307.9637756,0.43921572,4.129032135,1,2,landscape,176.9215088,1.313898444,2.285285473,0.339981079,-0.17237854,9.643859863,0.005142212,-1.53E-05,-0.003158569,1
393,11016075,1092.283081,328.7770081,0.43921572,4.129032135,1,2,landscape,176.875,1.311328888,2.286200523,0.34715271,-0.22984314,9.651031494,0.00088501,-0.004272461,-0.001037598,1
394,11016125,1074.344604,348.7542114,0.43921572,4.129032135,1,2,landscape,176.8874512,1.31084168,2.302002192,0.359130859,-0.22265625,9.634277344,0.00302124,-0.00213623,-0.002105713,1
395,11016175,1060.414429,364.6289673,0.43921572,4.129032135,1,2,landscape,176.8944092,1.308275819,2.303330421,0.359130859,-0.237030029,9.634277344,0.004089355,-0.008529663,3.05E-05,1
396,11016225,1058.44873,366.5939026,0.43921572,4.129032135,1,2,landscape,176.9942017,1.293905139,2.339153051,0.385467529,-0.22505188,9.476257324,0.00088501,-0.003204346,-0.001037598,1
397,11016275,1060.442261,366.5939026,0.43921572,4.129032135,1,2,landscape,177.0100098,1.289174914,2.33863616,0.37348938,-0.20111084,9.560058594,-0.001235962,0.006378174,0.001098633,1
398,11016341,1073.440918,358.6012878,0.43921572,4.129032135,1,2,landscape,177.0585938,1.293717742,2.337043524,0.37588501,-0.19871521,9.641464233,0.00088501,-0.019180298,0.002166748,1
399,11016375,1072.478882,359.5628967,0.43921572,4.129032135,1,2,landscape,177.083374,1.296205044,2.351347208,0.407012939,-0.22265625,9.552871704,0.001953125,-0.00213623,0.001098633,1
400,11016381,1071.441895,359.6003723,0.435294151,3.612903118,1,2,landscape,177.083374,1.296205044,2.351347208,0.407012939,-0.22265625,9.552871704,0.001953125,-0.00213623,0.001098633,1
401,11016388,1071.441895,359.6003723,0.435294151,3.612903118,1,1,landscape,177.083374,1.296205044,2.351347208,0.407012939,-0.22265625,9.552871704,0.001953125,-0.00213623,0.001098633,1
402,11016403,1058.44873,375.5855713,0.274509817,2.580645084,1,0,landscape,177.083374,1.296205044,2.351347208,0.407012939,-0.22265625,9.552871704,0.001953125,-0.00213623,0.001098633,1
403,11016508,1018.105713,432.8964539,0.329411775,4.129032135,1,2,landscape,177.0042725,1.328570962,2.287700176,0.409408569,-0.308853149,9.634277344,-0.001235962,-0.010665894,-0.001037598,1
404,11016575,954.913147,496.9259033,0.36470589,4.129032135,1,2,landscape,177.0255127,1.313256979,2.323879957,0.337585449,-0.160415649,9.629486084,-0.002304077,-0.00213623,3.05E-05,1
405,11016641,893.8565674,570.7605591,0.403921604,4.645161152,1,2,landscape,176.9586182,1.323395729,2.351447821,0.407012939,-0.265762329,9.672592163,-0.000183105,-0.007461548,3.05E-05,1
406,11016708,865.4729004,621.0491333,0.43921572,4.645161152,1,2,landscape,177.0560913,1.329044938,2.398945093,0.433349609,-0.1771698,9.548080444,-0.005508423,-0.006408691,-0.002105713,1
407,11016791,849.0817261,659.9569702,0.43921572,4.645161152,1,2,landscape,177.1144409,1.331123352,2.405103922,0.40222168,-0.284912109,9.612731934,-0.002304077,-0.001068115,0.001098633,1
408,11016858,838.6303711,676.2399902,0.43921572,4.645161152,1,2,landscape,177.1077881,1.343322158,2.409417391,0.361526489,-0.1771698,9.665405273,-0.003372192,0.003189087,-0.001037598,1
409,11016925,831.7397461,682.3015747,0.43921572,4.645161152,1,2,landscape,177.0332642,1.340301275,2.398007631,0.435745239,-0.24420166,9.552871704,-0.001235962,0.001052856,0.001098633,1
